,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
3505,Kazakhstan,2.0,61.0,39.0,2.0,0.0,3.0,0.0,11.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,0.0,0.0,3.0,3,3.0,-2.0,3.0
3506,Kazakhstan,2.0,42.0,19.0,2.0,2.0,3.0,0.0,11.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2,0.0,-1.0,2.0,3,3.0,-2.0,3.0
3507,Kazakhstan,2.0,42.0,17.0,2.0,2.0,3.0,0.0,11.0,4.0,0.0,-1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3,3.0,-3.0,3.0,3,3.0,-3.0,3.0
3508,Kazakhstan,2.0,30.0,6.0,2.0,2.0,5.0,0.0,11.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3,3.0,3.0,2.0,3,3.0,3.0,2.0
3509,Kazakhstan,1.0,32.0,8.0,2.0,2.0,5.0,1.0,11.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3,3.0,3.0,1.0,3,3.0,3.0,2.0
3510,Kazakhstan,1.0,41.0,12.0,2.0,2.0,3.0,0.0,11.0,4.0,-3.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3,3.0,-2.0,1.0,3,3.0,3.0,2.0
3511,Kazakhstan,1.0,34.0,9.0,2.0,2.0,5.0,0.0,11.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3,3.0,1.0,-1.0,3,3.0,3.0,2.0
3512,Kazakhstan,1.0,34.0,8.0,1.0,1.0,5.0,1.0,11.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3,3.0,2.0,2.0,3,3.0,2.0,2.0
3513,Kazakhstan,1.0,25.0,2.0,0.0,0.0,3.0,1.0,11.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3,3.0,2.0,2.0,3,3.0,2.0,2.0
3514,Kazakhstan,2.0,24.0,2.0,1.0,1.0,5.0,1.0,11.0,4.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2,3.0,2.0,2.0,3,3.0,2.0,2.0
3515,Kazakhstan,1.0,48.0,15.0,2.0,2.0,5.0,0.0,11.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,-1.0,2.0,0.0,-1.0,-1.0,2,2.0,2.0,2.0,3,3.0,2.0,2.0
3516,Kazakhstan,1.0,35.0,10.0,2.0,2.0,5.0,1.0,11.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2,2.0,2.0,1.0,2,2.0,2.0,2.0
3517,Kazakhstan,2.0,37.0,15.0,3.0,3.0,5.0,0.0,11.0,4.0,-2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2,2.0,0.0,1.0,2,2.0,1.0,2.0
3518,Kazakhstan,2.0,32.0,7.0,2.0,2.0,5.0,1.0,11.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3,3.0,1.0,1.0,3,3.0,3.0,1.0
3519,Kazakhstan,2.0,27.0,5.0,1.0,1.0,5.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1,2.0,-2.0,2.0,3,3.0,2.0,1.0
3520,Kazakhstan,1.0,33.0,7.0,1.0,1.0,5.0,0.0,11.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3,3.0,2.0,1.0,3,3.0,2.0,1.0
3521,Kazakhstan,2.0,38.0,15.0,2.0,2.0,5.0,0.0,11.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3,3.0,1.0,0.0,3,3.0,2.0,1.0
3522,Kazakhstan,2.0,32.0,8.0,1.0,1.0,5.0,1.0,11.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1,2.0,1.0,1.0,2,2.0,2.0,1.0
3523,Kazakhstan,1.0,35.0,7.0,2.0,2.0,5.0,1.0,11.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,3,3.0,-3.0,0.0,3,3.0,-3.0,1.0
3524,Kazakhstan,1.0,35.0,10.0,2.0,2.0,5.0,1.0,11.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,3,3.0,2.0,-1.0,3,3.0,2.0,0.0
