,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
3072,Iran ,Female,43.0,21.0,1.0,1.0,Secondary school,Better than average,Muslim,Moderately,Agree slightly,Neither yes or no,Rather no,Rather yes,Neither yes or no,Rather yes,Rather yes,Neither yes or no,No,Rather yes,Slightly Satisfied,Slightly Satisfied,Neutral,Agree somewhat,Agree somewhat,Disagree slightly,Agree slightly,Agree somewhat,Strongly agree,Disagree slightly,Agree somewhat
3073,Iran ,Male,25.0,2.0,0.0,0.0,Bachelors or Masters degree,Average,Muslim,Somewhat religious,Disagree slightly,Yes,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree somewhat,Strongly agree,Disagree slightly,Agree somewhat,Agree slightly,Strongly agree,Disagree slightly,Agree somewhat
3074,Iran ,Female,35.0,7.0,2.0,2.0,High school or technical school,Worse than average,Muslim,Moderately,Disagree somewhat,Rather yes,Neither yes or no,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Neutral,Neutral,Slightly Satisfied,Strongly agree,Strongly agree,Neither agree nor disagree,Agree somewhat,Strongly agree,Strongly agree,Disagree somewhat,Agree somewhat
3075,Iran ,Female,47.0,27.0,2.0,2.0,Secondary school,Average,Muslim,Somewhat religious,Agree somewhat,Rather no,Rather no,Neither yes or no,Rather yes,Neither yes or no,Rather yes,Neither yes or no,No,Neither yes or no,Slightly Dissatisfied,Slightly Dissatisfied,Slightly Dissatisfied,Agree somewhat,Strongly agree,Disagree slightly,Agree somewhat,Strongly agree,Strongly agree,Disagree somewhat,Agree somewhat
3076,Iran ,Male,32.0,3.0,0.0,0.0,High school or technical school,Worse than average,Muslim,Slightly religious,Agree slightly,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Satisfied,Somewhat Satisfied,Very Satisfied,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Strongly agree,Disagree somewhat,Agree somewhat
3077,Iran ,Female,36.0,6.0,1.0,1.0,High school or technical school,Worse than average,Muslim,Moderately,Disagree somewhat,Rather no,Rather no,Rather no,Neither yes or no,Rather no,Rather yes,Rather no,Rather no,Rather no,Somewhat Dissatisfied,Very Dissatisfied,Somewhat Dissatisfied,Agree slightly,Strongly agree,Disagree slightly,Agree somewhat,Agree somewhat,Agree somewhat,Disagree strongly,Agree somewhat
3078,Iran ,Female,53.0,31.0,4.0,0.0,Secondary school,Worse than average,Muslim,Slightly irreligious,Disagree strongly,Neither yes or no,Yes,Yes,Rather yes,Yes,Yes,Rather yes,No,Rather yes,Slightly Satisfied,Somewhat Dissatisfied,Neutral,Agree somewhat,Strongly agree,Disagree somewhat,Disagree slightly,Agree somewhat,Agree somewhat,Disagree strongly,Agree somewhat
3079,Iran ,Female,30.0,10.0,1.0,1.0,Secondary school,Average,Muslim,Slightly irreligious,Agree slightly,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Yes,Yes,Yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree slightly,Strongly agree,Disagree strongly,Strongly agree,Agree somewhat,Strongly agree,Disagree strongly,Agree somewhat
3080,Iran ,Female,61.0,37.0,1.0,1.0,Primary school,Much worse than average,Muslim,Extremely,Disagree strongly,Neither yes or no,Rather no,Rather yes,Rather yes,Neither yes or no,Rather yes,Rather yes,No,Neither yes or no,Slightly Dissatisfied,Slightly Dissatisfied,Somewhat Dissatisfied,Strongly agree,Strongly agree,Disagree strongly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree slightly
3081,Iran ,Male,28.0,2.0,1.0,1.0,High school or technical school,Average,Muslim,Extremely,Disagree strongly,Yes,Rather yes,Yes,Yes,Yes,Rather yes,Yes,Rather yes,Yes,Very Satisfied,Very Satisfied,Somewhat Satisfied,Agree somewhat,Agree somewhat,Agree slightly,Agree somewhat,Strongly agree,Strongly agree,Strongly agree,Agree slightly
3082,Iran ,Male,32.0,7.0,1.0,1.0,High school or technical school,Worse than average,Muslim,Somewhat religious,Agree slightly,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Neither yes or no,Rather yes,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree somewhat,Strongly agree,Agree slightly,Agree somewhat,Strongly agree,Strongly agree,Agree somewhat,Agree slightly
3083,Iran ,Female,30.0,4.0,0.0,0.0,Bachelors or Masters degree,Worse than average,Muslim,Slightly religious,Neither agree nor disagree,Neither yes or no,Rather yes,Rather no,Rather yes,Rather no,Yes,Rather no,No,No,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Strongly agree,Strongly agree,Strongly agree,Agree somewhat,Agree somewhat,Strongly agree,Agree somewhat,Agree slightly
3084,Iran ,Female,32.0,8.0,1.0,1.0,High school or technical school,Better than average,Muslim,Moderately,Agree slightly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Satisfied,Very Satisfied,Somewhat Satisfied,Agree somewhat,Agree somewhat,Agree slightly,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree slightly
3085,Iran ,Male,40.0,12.0,3.0,3.0,Primary school,Worse than average,Muslim,Somewhat religious,Disagree somewhat,Neither yes or no,No,Neither yes or no,Neither yes or no,Rather yes,Rather no,Rather no,No,No,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Agree slightly,Agree somewhat,Agree slightly,Agree slightly,Agree somewhat,Agree somewhat,Agree somewhat,Agree slightly
