,country,sex,age,marriage_duration_years,num_children_total,num_children_inhome,edu_level,material_situation,religion,religiosity,pension,enjoy_spouse_company,happiness,spouse_attraction,spouse_enjoy_doing_things_together,spouse_enjoy_cuddling,spouse_respect,spouse_pride,spouse_romance,spouse_love,marital_satisfaction,spouse_satisfaction,relationship_satisfaction,natl_pride_in_parents,natl_pride_in_children,natl_aging_parents_live_with_children,natl_children_live_at_home_marraige,indv_pride_in_parents,indv_pride_in_children,indv_aging_parents_live_with_children,indv_children_live_at_home_marraige
156,Brazil ,2,24,0,0,0,4,1,Protestant,6,1,2,2,2,2,2,2,2,2,2,3,3,3,1,1,1,3,3,3,3,3
157,Brazil ,1,36,17,2,1,4,1,Protestant,4,2,2,0,-2,1,2,2,0,2,1,-2,-3,-3,-2,1,-3,3,3,3,3,3
158,Brazil ,1,26,8,0,0,4,0,Protestant,6,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,3,3
159,Brazil ,1,52,28,1,0,5,1,Protestant,1,-1,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,3,3,3,3
160,Brazil ,1,38,11,3,0,4,0,Protestant,4,3,0,-2,2,2,2,2,0,-2,2,1,1,1,1,3,1,2,3,3,3,3
161,Brazil ,1,32,15,3,0,4,0,Protestant,6,2,2,2,2,2,2,2,2,-1,2,3,3,3,2,2,1,2,3,3,3,3
162,Brazil ,1,59,45,6,0,2,0,Protestant,1,2,2,1,1,2,1,2,1,0,2,1,1,1,1,2,1,2,3,3,3,3
163,Brazil ,2,36,10,1,1,3,0,Protestant,5,-2,2,2,2,-1,2,2,2,2,2,2,2,2,2,3,-1,1,3,3,3,3
164,Brazil ,1,25,0,0,0,4,0,Protestant,5,1,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,2,3,3,3
165,Brazil ,1,35,7,1,1,3,1,Protestant,1,2,-2,-2,-2,-2,-2,2,1,-2,-2,2,2,2,0,-3,1,3,1,3,3,3
166,Brazil ,1,26,5,0,0,5,2,Protestant,4,-2,2,2,2,2,2,1,2,2,2,1,1,1,-1,3,3,2,1,3,3,3
167,Brazil ,1,25,2,1,0,4,0,Protestant,3,0,2,1,2,2,2,2,2,1,2,1,1,1,1,2,-2,-2,1,3,3,3
168,Brazil ,1,28,1,0,0,5,1,Protestant,4,-2,2,2,2,2,2,2,2,2,2,3,3,3,2,1,-2,3,1,3,3,3
169,Brazil ,1,45,21,2,0,3,1,Protestant,4,-3,2,2,1,2,2,2,1,-2,2,2,1,2,-3,2,-1,2,-1,3,3,3
170,Brazil ,2,46,21,2,0,3,1,Protestant,4,-3,2,2,2,2,2,2,2,-1,2,2,3,2,-3,2,-1,-1,-1,3,3,3
171,Brazil ,1,38,19,2,2,5,0,Protestant,5,2,2,2,2,2,2,2,2,1,2,3,3,3,2,3,2,2,2,2,3,3
172,Brazil ,1,22,3,1,0,4,0,Protestant,5,3,2,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,3,3
173,Brazil ,1,54,32,3,0,2,0,Protestant,4,3,0,-2,1,-1,-2,2,-1,-1,2,-1,-1,-1,2,3,0,-3,2,2,3,3
174,Brazil ,1,47,26,2,0,4,0,Protestant,4,1,2,1,2,2,2,2,2,1,2,3,2,2,1,3,2,0,0,1,3,3
